identifier,name,short_description,location,created_year
,LegalFly,LegalFly is a legal technology startup that automates legal services using artificial intelligence.,Ghent,2023
,Kong,Kong is the leading developer of cloud API technologies. Powering the API world.,San Francisco,2018
,JetZero,"JetZero is building the world's first commercial blended wing airplane, which will (literally) reshape aviation forever.",Long Beach,2022
,NASA,"NASA is a research company with expertise in space exploration, scientific discovery and aeronautics research.",Washington,2012
,Anaconda,"Anaconda's platform provides access to the foundational open-source Python packages used in modern AI, data science and machine learning.",Austin,2013
,Deepnote,"Deepnote is a collaborative data science notebook for teams that is shareable, Jupyter-compatible, and runs in the cloud.",San Francisco,2018
,Asda,Asda owns and operates a chain of supermarkets that sell various products.,Humber,2013
,Kymera Therapeutics,Kymera Therapeutics is a biotechnology company that specializes in the field of targeted protein degradation.,Cambridge,2017
,Talkspace,"Talkspace is a digital therapy company that offers online therapy, online counseling, psychiatry and medication management, and self-care.",New York,2014
,Oscar Health,"Oscar is a health insurance company that offers individual and family plans, medicare advantages, and small group products.",New York,2013
,Walgreens Boots Alliance,"Walgreens Boots Alliance is the first global pharmacy-led, health and wellbeing enterprise in the world.",Deerfield,2015
,LanzaJet,"LanzaJet is a provider and producer of Sustainable Aviation Fuel (SAF) technology, dedicated to accelerating the transition to clean energy.",Illinois City,2020
,Zimmer Biomet,"Zimmer Biomet is a medical device manufacturing company that offers orthopedic reconstructive, spinal, and trauma devices.",Warsaw,2013
,MindMed,MindMed provides psychedelic-inspired medicines and therapies for substance abuse disorders and other mental illnesses.,New York,2019
,greytHR,greytHR is an integrated cloud-based HR & Payroll software.,Bangalore,2009
,Bitdeer Technologies Group,Bitdeer is a provider of digital asset mining services for blockchain and high-performance computing.,Singapore,2021
,Kohlberg Kravis Roberts,"Kohlberg Kravis Roberts is an alternative asset manager focusing on private equity, fixed income, and capital markets.",Hudson,2011
,Telstra,Telstra is an Australia-based telecommunications and information services company offering a full range of communications services.,Melbourne,2008
,Affinity,Affinity is a relationship intelligence platform built to expand and evolve the traditional CRM. ,San Francisco,2015
,d.light,"d.light designs, manufactures, and distributes solar lighting and power products, particularly targeting off-grid communities.",Palo Alto,2009
,Supreme,"Supreme is a clothing and lifestyle brand that produces apparels for skaters, kids, and artists.",New York,2017
,IFS,"IFS develops and delivers enterprise software solutions such as ERP, EAM and Service Management.",Linköping,2010
,Cognition,Cognition is an applied artificial intelligence lab that focuses on reasoning and code.,San Francisco,2024
,Delivery Hero,Delivery Hero is a network of online food ordering sites with over 100 restaurant partners worldwide.,Berlin,2012
,Genpact,"Genpact is an information technology firm that offers business management, artificial intelligence, automation, and cloud services.",New York,2011
,Thoughtful AI,AI-Powered Healthcare Automation,Austin,2020
,Coast,Coast is a financial services platform that provides fleet fuel cards and expense management solutions for various industries.,New York,2021
,Napkin AI,"Visual AI for business storytelling. Napkin transforms your text into visuals, perfect for presentations, blogs and more.",Los Altos,2024
,Polkadot,Polkadot is a heterogeneous multi‑chain technology that allows independent blockchains to exchange information.,Zug,2017
,Artiva Biotherapeutics,Artiva Biotherapeutics is a biotech company focused on developing and commercializing allogeneic natural killer (NK) cell therapies.,San Diego,2020
,Lineaje,"Lineaje solves critical Software Supply Chain security problems faced by every organization that builds, uses or sells software.",Saratoga,2023
,Singtel,"Singtel is a telecommunications company that provides mobile, fixed-line, broadband internet, and television services.",Singapore,2008
,Greenely,Greenely provides an energy management platform for consumers to manage energy use and contribute to overall power system stability.,Stockholm,2016
,Leaf Agriculture,Leaf Agriculture is the provider of a unified farm data API and it builds the future of food and agriculture.,Los Angeles,2019
,BlockDAG,BlockDAG is a layer1 blockchain company.,,2024
,Rocketlane,Rocketlane is a project management and collaboration platform that enhances the customer onboarding processes for businesses.,Covina,2021
,Auxilo,A pro education NBFC registered with the Reserve Bank of India poised on serving the financing gaps in the Indian Education Sector.,Mumbai,2018
,Fireflies.ai,"Fireflies.ai offers an AI Meeting assistant that records, transcribes, and makes searchable meeting notes.",San Francisco,2016
,OneCause (formerly BidPal),OneCause Fundraising Solutions help nonprofits raise more funds and reach more donors. ,Indianapolis,2011
,SigTuple,SigTuple builds intelligent solutions for medical diagnosis using state of the art machine learning techniques.,Bangalore,2016
,Tencent,"Tencent is an internet service portal offering value-added internet, mobile, telecom, and online advertising services.",Shenzhen,2014
,Hello Alice,"Hello Alice is a financial technology company that provides access to credit, loans, grants, and business planning services.",Houston,2017
,CTERA Networks,"CTERA enables enterprises to securely sync, share, protect and govern files from any device or office, all from the cloud of their choice.",Petah Tiqva,2009
,Alvys,Alvys is a software company that develops cloud-based transportation management systems for trucking and logistics companies.,Solana Beach,2021
,Intelmatix,Intelmatix is a deep-tech AI company with capabilities that address sector challenges by providing tailored solutions and unique products.,Riyadh,2021
,Idrx,Idrx is a clinical-stage biopharmaceutical company dedicated to transforming cancer treatment.,Plymouth,2022
,Fastly,Fastly helps digital businesses keep pace with their customer expectations by delivering secure and online experiences.,San Francisco,2011
,Delhivery,"Delhivery is a supply chain services company that provides transportation, warehousing, freight, and order fulfillment services.",Gurgaon,2014
,DaVita,DaVita is a provider focused on transforming care delivery to improve quality of life for patients globally.,Denver,2012
,AMD,"Advanced Micro Devices is a semiconductor company that designs and develops graphics units, processors, and media solutions.",Santa Clara,2008
,Motorola Solutions,Motorola Solutions creates mission-critical communication solutions and services for public safety and commercial customers.,Chicago,2008
,Cherry,Cherry is a payment solutions company that offers fast and easy payment plans for medical practices.,San Francisco,2019
,BioNTech,BioNTech is a biopharmaceutical company that develops cancer therapeutics for infectious diseases.,Mainz,2015
,Wealthsimple,Wealthsimple offers financial tools to help investors grow and manage their money.,Toronto,2014
,ZwitterCo,ZwitterCo provides membrane solutions for the treatment of highly-impaired wastewater.,Cambridge,2018
,Semperis,Semperis is a developer of enterprise identity protection and cyber resilience for cross-cloud and hybrid environments.,Hoboken,2014
,Sonos,Sonos is a wireless multi-room music system that enables users to play music anywhere in the house and control it using a smartphone.,Santa Barbara,2009
,EcoVadis,EcoVadis offers a collaborative platform that allows companies to assess the environmental and social performance of their suppliers.,Paris,2008
,Devo,Devo is a cybersecurity company that provides cloud-native logging and security analytics for organizations.,Cambridge,2013
,Splunk,"Splunk is a software company that provides operational intelligence software that monitors, reports, and analyzes real-time machine data.",San Francisco,2007
,Trinity Capital,Trinity Capital is a provider of venture debt and equipment financing to venture-backed companies with institutional equity investors.,Phoenix,2014
,Thought Machine,Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking.,London,2016
,Bitpanda,Bitpanda is a centralized crypto exchange that provides users access to digital assets.,Vienna,2015
,CultureAI,CultureAI is a human risk management platform that helps to identify workforce security risks and coach employees.,Manchester,2019
,Zenity,The first security governance platform for low-code/no-code and AI applications.,Tel Aviv,2021
,Vanilla,Vanilla offers an estate planning platform that enhances the experience for wealth management firms and their clients.,Salt Lake City,2021
,Sumsub,One verification platform to secure the whole customer journey,Limassol,2017
,Creative Destruction Lab (CDL),Creative Destruction Lab (CDL) is a no-fee/no-equity mentoring program for the founders and executives of pre-seed stage ventures.,Toronto,2015
,FlixBus,"FlixBus is a unique combination of tech-startup, e-commerce platform, and transportation company.",Munich,2013
,Sepio,"Sepio provides asset risk management services for the financial, insurance, healthcare, and manufacturing industries.",Rockville,2017
,PitchBook,"PitchBook provides comprehensive M&A, private equity, and venture capital data, as well as daily industry news and analysis.",Seattle,2009
,Odoo,Odoo offers an integrated suite of business apps built through an open-source development model.,Grand-rosière,2010
,Aave,Aave is an open source non-custodial protocol on Ethereum for decentralized lending and borrowing.,London,2017
,Phenom,"Phenom empowers global enterprises to hire faster, develop better & retain longer with its intelligent talent experience platform.",Ambler,2015
,Mimecast,Mimecast is a SaaS-based email management platform enabling companies to administer business communications and data.,London,2010
,Ambercycle,Ambercycle is a material science company that converts textile waste into new polyester yarns for apparel brands and manufacturers.,Los Angeles,2019
,SEMrush,SEMrush is an online visibility management and content marketing SaaS platform.,Boston,2012
,Zap Energy,Zap Energy is developing compact fusion power that doesn't require magnets or lasers.,Everett,2020
,Foodpanda,foodpanda is a online food delivery marketplace that enables users to place orders at local restaurants via its website or mobile app.,Berlin,2013
,Pepper,"Pepper is an eCommerce platform for food distributors, convenience stores, and other marketplaces.",New York,2019
,Check,Check is a leading payroll infrastructure provider that allows platforms to build successful payroll businesses.,New York,2020
,Air Liquide,"Air Liquide supplies industrial gases and services to various industries including medical, chemical and electronic manufacturers.",Paris,2013
,Cummins,"Cummins is a manufacturing industry that designs, manufactures, and sells powertrain components and diesel engines for commercial trucks.",Columbus,2013
,Loyal,Loyal provides an integrated digital healthcare platform for patient engagement.,Atlanta,2016
,Rula,"Rula is a leading company in the behavioral healthcare space, with a mission to make mental healthcare work for everyone.",Los Angeles,2019
,Spotify,Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.,Stockholm,2008
,Ginkgo Bioworks,Ginkgo Bioworks is a developer of biological engineering products and custom microbes across multiple markets.,Boston,2012
,Jumio,Jumio is an AI platform that enables users to establish their identity remotely to protect against fraud and other financial crime.,Sunnyvale,2010
,Superhuman,Superhuman is a software platform that weaves social insights into a workflow.,San Francisco,2015
,GalaxEye,GalaxEye enables businesses to make better Decisions & perform operations efficiently via Space Technology.,Chennai,2021
,insightsoftware,insightsoftware is the most comprehensive provider of solutions for the Office of the CFO.,Raleigh,2018
,Williams,"Williams is an energy infrastructure company that provides transport, storage, and delivery solutions for clean energy economy.",Tulsa,2012
,ACV,ACV is a full-service dealer marketplace that runs online automotive auctions.,Buffalo,2015
,CPP Investments,CPP Investments invests in the contributors and beneficiaries to maximize investment returns.,Toronto,2013
,Innovaccer,"Innovaccer provides a data activation platform that aggregates, analyzes, and leverages healthcare data to deliver actionable insights.",San Francisco,2013
,InnerPlant,InnerPlant is harnessing plant physiology to unlock data at scale and boost global agricultural yields and sustainability.,Davis,2018
,Acko,Acko is a general insurance company that offers insurance products for people working in the transportation and healthcare sectors.,Mumbai,2017
,Nile,"Nile provides secure connectivity and network independence through a fully automated, wired and wireless LAN deployed entirely as a service",San Jose,2022
,Tikehau Capital,Tikehau Capital is a global asset management and investment company that specializes in various asset classes.,Paris,2015
,Female Invest,Female Invest is a edtech platform empowering women through subscription-based learning and community.,Copenhagen,2021
,Alibaba Cloud,Alibaba Cloud develops cloud computing and data management services.,Hangzhou,2016
,EWOR,"EWOR is a place where the most extraordinary people find the education, network, and capital to solve the world’s biggest problems.",Berlin,2023
,ZeroTier,ZeroTier is a secure network overlay that connects devices globally.,Irvine,2014
,Litera,Litera is a legaltech firm that provides of document lifecycle and transaction management solutions.,Chicago,2011
,AI21 Labs,AI21 Labs specializes in developing AI systems with an unprecedented capacity to understand and generate natural language.,Tel Aviv,2018
,Krutrim,Krutrim is an AI application that provides an AI computing infrastructure and AI-powered end applications for the Indian market.,Bangalore,2023
,Stanford University,"Stanford University is a teaching and research university that focuses on graduate programs in law, medicine, education, and business.",Stanford,2014
,Hashed,Hashed is the crypto assets fund and community builder.,San Francisco,2018
,Fi,Fi is a provider of next Generation of Smart Dog Collars.,New York,2017
,dopay,dopay aims to bank the world's next 1 billion workers by providing the best-in-class cashless payroll payment platform for businesses.,London,2014
,Photon Health,A modern prescription network,Brooklyn,2023
,Procter & Gamble Company,Procter & Gamble Company offers a variety of consumer goods products.,Cincinnati,2008
,Influential,Influential is an A.I. social data and conversion platform that partners with IBM Watson for influencer marketing and technology.,Las Vegas,2016
,MD Ally,MD Ally develops a telehealth emergency care platform to offer ease of access between public safety practitioners and providers.,New York,2018
,Myricx Bio,Myricx Bio is a biotechnology company that develops novel NMT inhibitor payloads for ADCs to treat cancer.,London,2020
,Vinfast,"Vinfast is the automotive manufacturing brand of Vingroup, Vietnam's largest conglomerate, .",Hai Phong,2018
,Precigen,Precigen is a life sciences company researching and developing bio-therapeutic control systems to minimize toxicity.,Germantown,2009
,nCino,Ncino is a cloud-based bank operating solution for the financial services industry.,Wilmington,2013
,Reddit,"Reddit is an online platform that enables users to submit links, create content, and have discussions about the topics of their interest.",San Francisco,2007
,Mosaic,Mosaic is a residential solar lending platform that enables people to profit from the benefits of clean energy.,Oakland,2012
,Aclima,Aclima offers an analytics software to map and analyze air pollution and greenhouse gases.,San Francisco,2015
,Actuate Therapeutics,Actuate Therapeutics provides advanced research for the treatment of high-impact cancers and neurodegenerative diseases.,Fort Worth,2018
,Datch,Datch provides AI-powered mobile solutions for frontline asset management.,San Francisco,2018
,Vedanta,Vedanta is a global diversified natural resources company.,Hyderabad,2014
,Flutter Entertainment,Flutter Entertainment is the world's leading online sports betting and gaming operator.,Dublin,2008
,Antheia,A synthetic biology company for next generation plant-inspired medicines,Menlo Park,2018
,OPSWAT,OPSWAT is a Critical Infrastructure Protection CIP Cybersecurity for ICS and OT environments,Tampa,2011
,SpaceX,SpaceX is an aviation and aerospace company that focuses on reducing the costs associated with space travel by using reusable rockets.,Hawthorne,2009
,Redwire,"Redwire focuses on space commercialization, digitally engineered spacecraft, on-orbit service, assembly, and manufacturing.",Jacksonville,2020
,Bank of Montreal,"Bank of Montreal is a financial services provider of retail banking, wealth management, and investment banking products and solutions.",Toronto,2008
,DataStax,DataStax is the real-time data company for Gen AI applications.,Santa Clara,2010
,Metropolis,Metropolis is an AI and computer vision start-up built to modernize parking and empower the future of mobility.,New York,2018
,Insilico Medicine,Insilico Medicine develops an AI platform for drug development to treat cancer and age-related diseases.,Hong Kong,2014
,HarmonyCares,HarmonyCares is a home-based health care provider for adults and for those with complex medical issues.,Troy,2021
,FGS Global,FGS Global provides public relations consultancy services to serve the domestic and international clients.,New York,2020
,General Fusion,General Fusion develops commercial fusion energy using Magnetized Target Fusion technology.,Richmond,2014
,deepc,The AI Operating System for the Future of Radiology,Munich,2021
,Crown Castle,"Crown Castle Provides communications infrastructure--connecting people & businesses to essential data, technology & wireless service.",Houston,2012
,Clare&me,Clare&me is an AI-powered mental health coach startup that offers self-therapy services.,Berlin,2021
,Innovate UK,"Innovate UK holds funding competitions for businesses and research organizations in sectors, including emerging technologies.",Swindon,2014
,MagicSchool AI,MagicSchool is the leading AI platform in education and the fastest growing technology platform for schools ever.,Denver,2023
,Sidecar Health,Sidecar Health is an InsurTech company that offers a health insurance platform and medical coverage to businesses.,Covina,2019
,Sokin,Global Payments. Fixed Fee. Commission Free. Hassle Free,London,2019
,AmeriCorps Public Allies,"It is a federal agency, brings people together to tackle the country’s most pressing challenges, through national service and volunteering.",Washington,2021
,Lhoopa,Lhoopa is an IT-driven real estate investment firm.,Pasig,2019
,EQT,"EQT is an energy company that produces natural gas, natural gas liquids (NGLs), and crude oil.",Pittsburgh,2016
,Cleveland Cliffs,"Cleveland-Cliffs produces iron ore pellets and flat-rolled steel, integrating mining, iron making, steelmaking, rolling, and finishing.",Cleveland,2020
,Sdui,Sdui provides solutions for mobile communication and organization in education.,Koblenz,2019
,Telegram,"Telegram is a cloud-based mobile and desktop messaging tool that focuses on privacy, security, and speed.",Dubai,2013
,Anthropic,Anthropic is an AI safety and research company that focuses on increasing the safety of large-scale AI systems.,San Francisco,2021
,Allianz,"Allianz is an integrated financial services company offering a range of products, services, and solutions in insurance and asset management.",München,2014
,Octopus Energy,Octopus Energy is a clean energy technology company that provides green energy solutions.,London,2016
,RingCentral,RingCentral is a provider of enterprise cloud communications and collaboration solutions.,Belmont,2007
,Linus Health,Linus Health is a digital health company focused on improving mental health and brain health by using screening technology.,Waltham,2020
,Sift,Sift applies insights from a global network of data to detect fraud and increase positive user experience.,San Francisco,2013
,Bambee,Bambee is a platform offering an affordable solution to small and medium-sized businesses for hiring HR managers.,Los Angeles,2016
,Particle Network,Particle Network provides Universal Accounts to unify Web3's fragmented users and liquidity.,Singapore,2023
,SambaNova Systems,SambaNova Systems builds AI hardware and integrated systems to run AI applications from the data center to the cloud.,Palo Alto,2018
,Axonius,Axonius is an asset inventory management platform that focuses on cybersecurity solutions and policies.,New York,2017
,Axle Energy,Axle's software dynamically gives flexibility to the electricity grid and adjusts energy usage to when it is cheapest and greenest.,London,2023
,Walmart,Walmart is a retail corporation that operates several chains of discount department and warehouse stores.,Bentonville,2009
,Valneva,Valneva focuses on the development and commercialization of prophylactic vaccines for infectious diseases.,Saint-herblain,2013
,Haveli Investments,Haveli Investments is a technology-focused private equity firm.,Austin,2022
,Recurrent Energy,"Recurrent Energy develops, constructs, and operates solar and energy storage projects.",San Francisco,2009
,Investcorp,"Investcorp is a provider and manager of alternative investment products, serving high-net-worth private and institutional clients.",Manama,2015
,Sprinklr,Sprinklr provides enterprise software for customer experience management.,New York,2010
,Abacus Life,Abacus Life is an asset management company that specializes in life settlement and insurance services.,Orlando,2020
,LivePerson,LivePerson provides real-time intelligent customer engagement solutions that help companies enhance the relationship with their customers.,New York,2008
,Sequoia Capital,"Sequoia Capital is a VC firm that invests in startups in the energy, financial, enterprise, healthcare, internet, and mobile industries.",Menlo Park,2007
,Ema,Ema provides AI solutions that enhance productivity across various enterprise roles.,Mountain View,2024
,Haus,Haus is a marketing science platform that helps brands understand the true business impact of their marketing spend.,Mountain View,2021
,Royal Bank of Canada,Royal Bank of Canada is a global financial institution that supports various businesses.,Toronto,2020
,Hulu,"Hulu is an online video service that offers a selection of hit shows, clips, movies, and documentaries through its website. ",Los Angeles,2007
,CData Software,"CData Software is a software company that offers data integration solutions for real-time access to applications, databases, and Web APIs.",Chapel Hill,2016
,Qualtrics,"Qualtrics is a single system of record for all experience data, managing customer, product, employee, and brand experiences on one platform.",Provo,2010
,lemon.markets,"Lemon.markets is a FinTech platform that offers an easy-to-use API for stock trading, order execution, and market data retrieval.",Berlin,2021
,Digital First AI,Digital First AI provides AI-driven marketing solutions for effective campaign management.,Lewes,2022
,PlayVS,PlayVS operates an eSports platform to organize high school and collegiate esports.,Los Angeles,2018
,Branch,Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,Palo Alto,2014
,KeyBank,KeyBank is a bank holding company. It is a bank-based financial services company.,Cleveland,2013
,Biobot Analytics,"Biobot Analytics turns wastewater systems into health observatories, using wastewater data to enhance community health.",Cambridge,2018
,Pave,"Pave is a real-time compensation platform that helps organizations plan, communicate, and benchmark employees' compensation.",San Francisco,2013
,Juniper Networks,Juniper Networks is a networking company that markets and develops networking products for enterprise companies.,Sunnyvale,2008
,Kodiak Robotics,Kodiak Robotics develops autonomous technology for long-haul trucking.,Mountain View,2018
,Blue Yonder,Blue Yonder is a digital supply chain and omni-channel commerce fulfillment platform.,Scottsdale,2010
,Manta Network,Manta Network is building a secure and interoperable future with Zero-Knowledge.,Boston,2021
,KarmaCheck,KarmaCheck is a software company that provides a streamlined API platform that offers background screening services for candidate placement.,San Francisco,2020
,Veriff,Veriff is an identity verification company that protects businesses and customers from online identity fraud.,Tallinn,2017
,Viasat,Viasat is a global communications company that offers satellite services.,Carlsbad,2009
,Writer,Writer is a software firm that develops a full-stack generative AI platform delivering transformative ROI for enterprises.,San Francisco,2020
,Clarivate Analytics,Clarivate Analytics accelerates the pace of innovation by providing trusted insights and analytics.,Philadelphia,2017
,Wiz,Wiz is a cybersecurity company that allows companies to find security issues in public cloud infrastructure.,New York,2020
,Rockset,Rockset is a real-time indexing database that enables companies to build data applications for the cloud.,San Mateo,2018
,Nielsen,Nielsen provides a comprehensive understanding of what consumers watch and buy.,New York,2007
,FC Barcelona,"FC Barcelona is a football club on a mission to become the most recognized, adored, and renowned sports institution in the world.",Barcelona,2013
,Fractal,Fractal is a software company that offers artificial intelligence solutions and products to enable every human's decision in an enterprise.,New York,2012
,Definely,Definely is a legaltech company that provides a unified solution for lawyers by simplifying access and understanding of legal documents.,London,2021
,Mayo Clinic,"MayoClinic is a nonprofit medical practice and medical research group focused on integrated health care, education, and research.",Rochester,2012
,Origin,"Origin is a financial planning platform that manages compensation, benefits, and personal finances for employees.",Boston,2020
,CodeRabbit,"CodeRabbit is an artificial intelligence company that offers detailed, line-by-line code suggestions and reviews within lines of code.",Walnut Creek,2024
,Ellucian,"Ellucian delivers the software, services, and insights that help your institution thrive.",Fairfax,2014
,The Carlyle Group,The Carlyle Group is a private equity firm that caters to early and later-stage companies.,Washington,2008
,Legion Technologies,Legion Technologies offers an intelligent workforce management platform designed to enhance labor efficiency and employee engagement.,Santa Clara,2017
,Code Metal,AI-Powered development at the Edge,Boston,2023
,Aqua Security,Aqua Security is a software company that provides an end-to-end security platform to improve security for cloud-native applications.,Ramat Gan,2016
,Imprint,"Imprint is a credit card issuer that designs, launches, and manages co-branded credit card programs.",New York,2021
,Gymdesk,Modern management software for gyms and martial arts schools,Austin,2016
,Odaseva,Odaseva delivers comprehensive data security and management solutions for enterprises running on Salesforce.,San Francisco,2016
,Infinitum,Infinitum is setting the bar for the next generation of motors to be better for the planet – and for people.,Round Rock,2019
,Rohirrim,"Rohirrim uses generative AI for RFP automation and knowledge management, automating repetitive tasks for proposal teams.",Reston,2023
,Life360,Life360 creates a mobile app for families that helps families feel closer together.,San Francisco,2009
,Caliza,Caliza is building a global financial infrastructure that removes borders from commerce.,Miami,2022
,Games24x7,"Real Money Skill Gaming, Daily Fantasy Sports, Casual Gaming",Mumbai,2009
,Paddle,Paddle is a payments infrastructure provider for SaaS companies.,London,2013
,Cloudbeds,"Cloudbeds’ hospitality management platform enables hotels to grow revenue, streamline operations, and deliver memorable guest experiences.",San Diego,2016
,Flower,Developing knowledge and AI to efficiently deploy electricity flexibility,Stockholm,2020
,ComplyAdvantage,"ComplyAdvantage is an AI-based fraud and anti-money laundering risk detection platform for banks, insurance, and cryptocurrency industries.",London,2015
,HATCHER+,Hatcher+ offers a data-driven venture firm that uses AI/ML-based technologies to identify early-stage opportunities.,Singapore,2014
,CatalYm,CatalYm is a biotechnology company developing innovative immunotherapies for cancer patients.,Planegg,2018
,Collaborative Robotics,Collaborative Robotics is building robots that help in indoor and outdoor tasks alongside humans.,Santa Clara,2022
,Google for Startups,Google for Startups is Google’s initiative to help startups thrive across every corner of the world.,Mountain View,2014
,Chope,Chope develops a restaurant reservation application to simplify table booking services.,Singapore,2013
,Exabeam,Exabeam is a global cybersecurity leader that delivers AI-driven security operations. Learn more at www.exabeam.com.,Foster City,2014
,Re:Build,Re:Build is an industrial manufacturing company that integrates advanced technologies with traditional manufacturing processes​.,Framingham,2021
,Fisker,Fisker is a designer and manufacturer of electric vehicles and mobility solutions.,Los Angeles,2020
,Smartsheet,"Smartsheet is a cloud-based work management platform that empowers collaboration, drives better decision making, and accelerates innovation.",Bellevue,2017
,Phaidra,Phaidra provides AI and ML solutions to accelerate performance in large-scale industries.,Seattle,2021
,iRobot,iRobot is a technology company that designs and builds behavior-based AI robots.,Bedford,2008
,DJI,DJI develops and manufactures innovative drone and camera technology for commercial and recreational use.,Shenzhen,2013
,Refresco,Refresco is a global independent beverage solutions provider offering a wide range of products and packaging options.,Rotterdam,2015
,Spear Bio,Spear Bio is a biotech company that focuses on the detection of ultrasensitive protein.,Weston,2021
,Formlabs,Formlabs develops and manufactures 3D printers and software for the industrial sector.,Somerville,2011
,Lighthouse Labs RVA,Lighthouse Labs is an early-stage startup accelerator that provides $20k for 0% equity.,Richmond,2016
,gener8tor,"Generate8tor is a venture capital firm that connects startup entrepreneurs, investors, corporations, job seekers, musicians, and artists.",Madison,2013
,Finastra,Finastra provides the broadest portfolio of financial services software.,Paddington,2017
,Western Digital,"Western Digital helps customers capture, preserve, access, and transform an ever-increasing diversity of data.",Milpitas,2015
,Sinch,Sinch is a cloud communications company that connects businesses and customers through tools that enable personal engagement.,Stockholm,2014
,10X Banking,10X Banking is a financial technology company.,London,2017
,EvolutionaryScale,EvolutionaryScale is a developer of biological artificial intelligence models for therapeutic design.,New York,2024
,Bolt Threads,Bolt is a materials company that invents and scales materials that put the planet on a path towards a better future.,Emeryville,2014
,LTZ Therapeutics,LTZ develops novel immunotherapies to treat patients that suffer from cancer and other diseases with an unmet clinical need.,San Francisco,2022
,Ryanair,Ryanair is an airlines company that provides carrier services across 40 countries.,Swords,2013
,Bpifrance,Bpifrance provides financial solutions for companies that are booting up the listing on the stock exchange and credit equity.,Maisons-alfort,2013
,Meltwater,"Meltwater is a social listening platform that offers businesses insights into online reputation, industry trends, and customer behavior.",Oslo,2012
,Seven Starling,Seven Starling is a digital clinic uniquely focused on treating perinatal mental health conditions.,New York,2021
,Banco Bilbao Vizcaya Argentaria,Banco Bilbao Vizcaya Argentaria  is a global financial services group that offers the a range of services to customers and companies.,Bilbao,2014
,FRVR,FRVR is a gaming distribution platform that connects players with browser-based games.,London,2015
,4baseCare,4baseCare provides precision oncology solutions with advanced genomics to help cancer patients.,Bengaluru,2020
,Coralogix,Coralogix is a SaaS platform that uses machine learning algorithms to facilitate delivery and maintenance processes for software providers.,Ramat Gan,2014
,Momentum,Momentum transforms sales calls into actionable customer intelligence using AI.,San Francisco,2020
,FullCircl,FullCircl is a Customer Lifecycle Intelligence (CLI) platform for businesses in financially regulated industries.,London,2010
,ClassPass,"ClassPass is an application that offers training for fitness, wellness, home workouts, in-studio classes, and digital classes.",New York,2012
,Code42,"Code42 provides data loss protection, visibility, and recovery solutions.",Minneapolis,2007
,Motive,"Motive builds technology to improve the safety, productivity and profitability of businesses that power the physical economy.",San Francisco,2013
,Vertex Pharmaceuticals,Vertex Pharmaceuticals is focused on the discovery and development of small molecule drugs for the treatment of serious diseases.,Boston,2009
,Meragi,"Meragi is an online platform for discovering, designing, and purchasing products and services for all lifestyle events.",Bengaluru,2023
,DoubleVerify,DoubleVerify is a software platform that specializes in digital media verification and advertising technology.,New York,2009
,Guru,"Guru is an Enterprise AI Search, Intranet, and Wiki platform allowing you to find and share information from anywhere to anywhere.",Philadelphia,2014
,Farmblox,Farmblox utilizes IoT and AI to give farmers the tools to automate their operations.,Waltham,2022
,Earli,Earli develops genetic constructs for early cancer detection and targeted therapy.,South San Francisco,2020
,impact.com,"impact.com, the leading global partnership management platform, has been transforming the way enterprises manage all types of partnerships.",Santa Barbara,2018
,DuckDuckGo,"DuckDuckGo is a browser extension that allows users to block trackers, secure connections, and search anonymously.",Paoli,2008
,Razer,"Razer develops high-end precision gaming products by combining technology, ergonomics, and expert validation.",Irvine,2009
,Cognigy,Cognigy is an enterprise conversational AI platform designed to automate customer and employee support processes.,Düsseldorf,2018
,Betterment,Betterment is an online investment company that offers investing and retirement solutions for their current clients and clients-to-be.,New York,2010
,Cohere,Cohere provides access to advanced Large Language Models and NLP tools through one easy-to-use API.,Toronto,2021
,Weights & Biases,Weights & Biases is a developer-first MLOps platform that builds machine learning performance visualization tools.,San Francisco,2018
,Rimini Street,Rimini Street is an independent provider of enterprise software support services for Oracle and SAP licensees.,Las Vegas,2013
,Bitfarms,Bitfarms is a blockchain infrastructure company that offers cryptocurrency coins and tokens and runs server farms to validate transactions.,Brossard,2019
,Morpho Labs,Morpho is a decentralized cryptocurrency lending protocol that provides lending and borrowing services.,Paris,2022
,Neiman Marcus Group,Neiman Marcus Group is a luxury fashion retail company for men and women.,Dallas,2013
,NeuSpera Medical,"NeuSpera Medical is a manufacturing firm that designs, manufactures, and sells implantable neuromodulation medical devices.",San Jose,2016
,Tallgrass Energy,"Tallgrass Energy is a family of companies formed to own, operate, acquire and develop midstream energy assets in North America.",Leawood,2015
,Ryan Specialty Group,Ryan Specialty Group is an international specialty insurance organization that provides innovative solutions for brokers and agents.,Chicago,2017
,Qloo,Qloo develops an AI-based cultural platform to predict consumer taste data and recommendations for companies in various sectors.,New York,2012
,Fetch,Fetch is a consumer-engagement platform that enables users to earn and redeem rewards.,Madison,2014
,Dun & Bradstreet,Dun & Bradstreet grows the most valuable relationships in business.,Short Hills,2008
,Zeta,"Zeta empowers issuers to launch API-ready, cloud-native next-gen credit card & payment programs that include processing, core banking, etc.",San Ramon,2016
,Evolve,Evolve offers rental services for vacation with modern approach to hospitality and property.,Denver,2014
